location,1,2,3,4,5
Ukraine,0,0,480,9866,15232
Uruguay,0,0,324,630,707
United States,6,66,164620,1039909,1329799
Uzbekistan,0,0,149,2002,2418
Vatican,0,0,6,10,12
Saint Vincent and the Grenadines,0,0,1,16,17
Venezuela,0,0,135,331,414
British Virgin Islands,0,0,3,6,7
United States Virgin Islands,0,0,30,66,69
Vietnam,5,16,206,270,288
Yemen,0,0,0,6,51
South Africa,0,0,1326,5350,10015
Zambia,0,0,35,97,267
Zimbabwe,0,0,7,34,36
